timestep,episode,total,progress,velocity,barrier,heading,smoothness,angular,existence,min_laser,distance_to_goal,cmd_vel_x,cmd_vel_y,cmd_vel_z,pose_x,pose_y,pose_yaw,goal_x,goal_y
52,1,-3.2309910818078063,0.0,-3.2309910817799827,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-0.32368209632630873,0.923140309082997,-0.536596747057591,1.0000000000092746,1.0,-0.0,1.0,0.0
53,1,-3.2309910818078063,0.0,-3.2309910817799827,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-0.32368209632630873,0.923140309082997,-0.536596747057591,1.0000000000092746,1.0,-0.0,1.0,0.0
54,1,-3.2309910818078063,0.0,-3.2309910817799827,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-0.32368209632630873,0.923140309082997,-0.536596747057591,1.0000000000092746,1.0,-0.0,1.0,0.0
55,1,-3.2309910818078063,0.0,-3.2309910817799827,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-0.32368209632630873,0.923140309082997,-0.536596747057591,1.0000000000092746,1.0,-0.0,1.0,0.0
56,1,-3.2309910818078063,0.0,-3.2309910817799827,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-0.32368209632630873,0.923140309082997,-0.536596747057591,1.0000000000092746,1.0,-0.0,1.0,0.0
57,1,-3.2309910818078063,0.0,-3.2309910817799827,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-0.32368209632630873,0.923140309082997,-0.536596747057591,1.0000000000092746,1.0,-0.0,1.0,0.0
58,1,-3.2309910818078063,0.0,-3.2309910817799827,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-0.32368209632630873,0.923140309082997,-0.536596747057591,1.0000000000092746,1.0,-0.0,1.0,0.0
59,1,-3.2309910818078063,0.0,-3.2309910817799827,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-0.32368209632630873,0.923140309082997,-0.536596747057591,1.0000000000092746,1.0,-0.0,1.0,0.0
60,1,-3.2309910818078063,0.0,-3.2309910817799827,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-0.32368209632630873,0.923140309082997,-0.536596747057591,1.0000000000092746,1.0,-0.0,1.0,0.0
61,1,-3.2309910818078063,0.0,-3.2309910817799827,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-0.32368209632630873,0.923140309082997,-0.536596747057591,1.0000000000092746,1.0,-0.0,1.0,0.0
62,1,-3.2309910818078063,0.0,-3.2309910817799827,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-0.32368209632630873,0.923140309082997,-0.536596747057591,1.0000000000092746,1.0,-0.0,1.0,0.0
63,1,-3.2309910818078063,0.0,-3.2309910817799827,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-0.32368209632630873,0.923140309082997,-0.536596747057591,1.0000000000092746,1.0,-0.0,1.0,0.0
64,1,3.500000000004637,0.0,3.5000000000324607,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-1.0,-1.0,0.4500107095959754,1.0000000000092746,1.0,-0.0,1.0,0.0
65,1,-1.9104378411463623,0.0,-1.9104378411185388,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-1.0,0.545839383186,0.5561079767613419,1.0000000000092746,1.0,-0.0,1.0,0.0
66,1,3.500000000004637,0.0,3.5000000000324607,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-1.0,-1.0,-1.0,1.0000000000092746,1.0,-0.0,1.0,0.0
67,1,1.3540533435289561,0.0,1.3540533435567796,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-0.22058665712455977,-0.3868723838713198,-1.0,1.0000000000092746,1.0,-0.0,1.0,0.0
68,1,0.604671956678086,0.0,0.6046719567059096,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-1.0,-0.1727634161924139,0.44986834611699356,1.0000000000092746,1.0,-0.0,1.0,0.0
69,1,1.2921790466581975,0.0,1.292179046686021,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-0.6518637149945689,-0.3691940133328174,-0.3883232928351587,1.0000000000092746,1.0,-0.0,1.0,0.0
70,1,-0.09032438489573108,0.0,-0.09032438486790752,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,0.829569224133315,0.02580696709742253,-0.5026550082007839,1.0000000000092746,1.0,-0.0,1.0,0.0
71,1,0.7822908930385128,0.0,0.7822908930663364,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-1.0,-0.22351168372396438,0.7455329910444858,1.0000000000092746,1.0,-0.0,1.0,0.0
72,1,1.2059571890593843,0.0,1.2059571890872078,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,0.3992441085010334,-0.3445591968857622,0.5135572854737784,1.0000000000092746,1.0,-0.0,1.0,0.0
73,1,1.2059571890593843,0.0,1.2059571890872078,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,0.3992441085010334,-0.3445591968857622,0.5135572854737784,1.0000000000092746,1.0,-0.0,1.0,0.0
74,1,1.2059571890593843,0.0,1.2059571890872078,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,0.3992441085010334,-0.3445591968857622,0.5135572854737784,1.0000000000092746,1.0,-0.0,1.0,0.0
75,1,1.2059571890593843,0.0,1.2059571890872078,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,0.3992441085010334,-0.3445591968857622,0.5135572854737784,1.0000000000092746,1.0,-0.0,1.0,0.0
76,1,1.2059571890593843,0.0,1.2059571890872078,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,0.3992441085010334,-0.3445591968857622,0.5135572854737784,1.0000000000092746,1.0,-0.0,1.0,0.0
77,1,1.2059571890593843,0.0,1.2059571890872078,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,0.3992441085010334,-0.3445591968857622,0.5135572854737784,1.0000000000092746,1.0,-0.0,1.0,0.0
78,1,1.2059571890593843,0.0,1.2059571890872078,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,0.3992441085010334,-0.3445591968857622,0.5135572854737784,1.0000000000092746,1.0,-0.0,1.0,0.0
79,1,1.2059571890593843,0.0,1.2059571890872078,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,0.3992441085010334,-0.3445591968857622,0.5135572854737784,1.0000000000092746,1.0,-0.0,1.0,0.0
80,1,1.2059571890593843,0.0,1.2059571890872078,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,0.3992441085010334,-0.3445591968857622,0.5135572854737784,1.0000000000092746,1.0,-0.0,1.0,0.0
81,1,1.2059571890593843,0.0,1.2059571890872078,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,0.3992441085010334,-0.3445591968857622,0.5135572854737784,1.0000000000092746,1.0,-0.0,1.0,0.0
